id,sku,name,category,packageWeightKg,stock,picks,packageLengthM,packageWidthM,packageHeightM,unitsPerContainer,stackable,allowHorizontalRotation,storageType,velocity,visualType
"P001","SKU-OFF-0001","A4 Folder 1","Office",0.6,31,79,0.24,0.16,0.09,9,TRUE,TRUE,"shelf","B","bag"
"P002","SKU-GAR-0002","Pruning Shears 1","Gardening",19.16,17,42,1.27,0.75,0.45,4,TRUE,TRUE,"pallet","C","pallet"
"P003","SKU-DAI-0003","Yogurt Cup 1","Dairy",2.19,27,319,0.4,0.29,0.24,10,TRUE,FALSE,"refrigerated","A","crate"
"P004","SKU-FRO-0004","French Fries 1","Frozen",3.36,20,188,0.55,0.38,0.34,12,FALSE,TRUE,"refrigerated","A","drum"
"P005","SKU-BEV-0005","Energy Drink 1","Beverages",2,20,75,0.37,0.24,0.2,2,FALSE,TRUE,"refrigerated","A","tube"
"P006","SKU-BEA-0006","Hand Cream 1","Beauty",2.28,21,86,0.2,0.19,0.11,14,FALSE,TRUE,"shelf","A","can"
"P007","SKU-OFF-0007","Stapler 1","Office",16.8,37,133,1.19,0.75,0.45,4,TRUE,TRUE,"pallet","B","pallet"
"P008","SKU-FRO-0008","Frozen Berry Mix 1","Frozen",4.72,24,256,0.55,0.38,0.34,2,TRUE,TRUE,"refrigerated","A","box"
"P009","SKU-HOM-0009","Floor Cleaner 1","Home Care",3.12,24,119,0.2,0.2,0.15,6,FALSE,FALSE,"fragile","B","bag"
"P010","SKU-OFF-0010","A4 Folder 2","Office",2.4,40,160,0.24,0.16,0.09,4,TRUE,FALSE,"shelf","B","bottle"
"P011","SKU-CLE-0011","Mop Head 2","Cleaning",24.68,26,141,1.27,0.75,0.48,6,FALSE,TRUE,"pallet","C","pallet"
"P012","SKU-SNA-0012","Potato Chips 2","Snacks",4.41,27,152,0.2,0.22,0.11,6,TRUE,FALSE,"shelf","C","drum"
"P013","SKU-HOM-0013","Air Freshener 2","Home Care",21.24,28,163,1.21,0.75,0.45,5,TRUE,TRUE,"pallet","C","pallet"
"P014","SKU-FRO-0014","Mixed Vegetables 2","Frozen",6.76,30,358,0.55,0.38,0.34,8,FALSE,TRUE,"refrigerated","B","can"
"P015","SKU-HOM-0015","Floor Cleaner 2","Home Care",4.8,30,185,0.2,0.24,0.15,12,TRUE,TRUE,"shelf","C","pack"
"P016","SKU-GAR-0016","Plant Fertilizer 2","Gardening",5.08,31,196,0.26,0.2,0.16,13,TRUE,TRUE,"shelf","C","box"
"P017","SKU-PET-0017","Pet Shampoo 2","Pet Supplies",5.36,32,207,0.32,0.17,0.18,3,FALSE,TRUE,"fragile","C","bag"
"P018","SKU-CLE-0018","All-Purpose Wipes 2","Cleaning",5.64,33,218,0.2,0.26,0.11,14,TRUE,TRUE,"shelf","C","bottle"
"P019","SKU-BEA-0019","Hand Cream 2","Beauty",24.92,34,229,1.21,0.75,0.45,6,FALSE,TRUE,"pallet","A","pallet"
"P020","SKU-HOM-0020","Air Freshener 3","Home Care",6.2,35,240,0.32,0.19,0.14,3,TRUE,FALSE,"shelf","C","drum"
"P021","SKU-GAR-0021","Garden Seeds 3","Gardening",6.48,36,251,0.2,0.15,0.15,4,TRUE,TRUE,"shelf","C","tube"
"P022","SKU-PET-0022","Paw Cream 3","Pet Supplies",6.76,37,262,0.26,0.24,0.16,8,TRUE,FALSE,"fragile","C","can"
"P023","SKU-GAR-0023","Potting Mix 3","Gardening",7.04,38,23,0.32,0.2,0.18,6,TRUE,TRUE,"shelf","A","pack"
"P024","SKU-PET-0024","Pet Shampoo 3","Pet Supplies",7.32,39,34,0.2,0.17,0.11,10,TRUE,TRUE,"shelf","C","box"
"P025","SKU-SNA-0025","Potato Chips 3","Snacks",8.05,40,45,0.26,0.26,0.12,5,TRUE,TRUE,"shelf","C","bag"
"P026","SKU-TOO-0026","Measuring Tape 3","Tools",11.82,34,211,0.28,0.18,0.15,5,TRUE,TRUE,"shelf","C","bottle"
"P027","SKU-PET-0027","Cat Toy 3","Pet Supplies",8.16,42,67,0.2,0.19,0.15,13,FALSE,TRUE,"fragile","A","crate"
"P028","SKU-CLE-0028","Trash Bag 3","Cleaning",8.44,43,78,0.26,0.15,0.16,10,TRUE,TRUE,"shelf","B","drum"
"P029","SKU-BEA-0029","Conditioner 3","Beauty",8.72,44,89,0.32,0.24,0.18,9,FALSE,TRUE,"shelf","A","tube"
"P030","SKU-SNA-0030","Trail Mix 4","Snacks",9.45,45,100,0.2,0.2,0.11,10,FALSE,TRUE,"fragile","B","can"
"P031","SKU-PET-0031","Pet Shampoo 4","Pet Supplies",9.28,46,111,0.26,0.17,0.12,3,TRUE,TRUE,"shelf","C","pack"
"P032","SKU-SNA-0032","Nuts Assorted 4","Snacks",10.01,47,122,0.32,0.26,0.14,12,FALSE,TRUE,"shelf","C","box"
"P033","SKU-BEV-0033","Craft Lager 4","Beverages",9.84,48,133,0.25,0.24,0.17,2,FALSE,TRUE,"refrigerated","A","bag"
"P034","SKU-BEA-0034","Deodorant 4","Beauty",10.12,49,144,0.26,0.19,0.16,14,TRUE,TRUE,"shelf","B","bottle"
"P035","SKU-DAI-0035","Whole Milk 4","Dairy",12.75,59,735,0.4,0.29,0.24,14,TRUE,TRUE,"refrigerated","A","crate"
"P036","SKU-BEA-0036","Hand Cream 4","Beauty",30.68,51,166,1.15,0.75,0.45,7,TRUE,TRUE,"pallet","C","pallet"
"P037","SKU-BEV-0037","Energy Drink 4","Beverages",10.96,52,177,0.31,0.22,0.14,6,FALSE,TRUE,"refrigerated","B","tube"
"P038","SKU-PET-0038","Paw Cream 4","Pet Supplies",11.24,53,188,0.32,0.17,0.14,10,FALSE,FALSE,"fragile","C","can"
"P039","SKU-GAR-0039","Watering Can 4","Gardening",11.52,54,199,0.2,0.26,0.15,8,FALSE,TRUE,"shelf","B","pack"
"P040","SKU-PET-0040","Pet Shampoo 5","Pet Supplies",11.8,55,210,0.26,0.22,0.16,12,TRUE,TRUE,"fragile","B","box"
"P041","SKU-CLE-0041","All-Purpose Wipes 5","Cleaning",12.08,56,221,0.32,0.19,0.18,9,TRUE,TRUE,"shelf","C","bag"
"P042","SKU-PET-0042","Cat Toy 5","Pet Supplies",12.36,57,232,0.2,0.15,0.11,14,TRUE,TRUE,"shelf","A","bottle"
"P043","SKU-OFF-0043","Stapler 5","Office",4.2,73,197,0.24,0.16,0.09,9,FALSE,TRUE,"shelf","B","crate"
"P044","SKU-HAR-0044","Bearing 6205 5","Hardware",15.22,59,254,0.32,0.2,0.14,12,TRUE,TRUE,"shelf","A","drum"
"P045","SKU-BEA-0045","Conditioner 5","Beauty",13.2,60,265,0.2,0.17,0.15,11,TRUE,TRUE,"shelf","B","tube"
"P046","SKU-SNA-0046","Trail Mix 5","Snacks",27.93,61,26,1.21,0.75,0.46,6,TRUE,TRUE,"pallet","C","pallet"
"P047","SKU-GAR-0047","Plant Fertilizer 5","Gardening",13.76,62,37,0.32,0.22,0.18,2,FALSE,FALSE,"fragile","B","pack"
"P048","SKU-TOO-0048","Level Tool 5","Tools",2.16,56,103,0.28,0.18,0.15,13,TRUE,TRUE,"fragile","C","box"
"P049","SKU-TOO-0049","Level Tool 5","Tools",2.58,57,124,0.28,0.18,0.15,14,FALSE,TRUE,"shelf","C","bag"
"P050","SKU-PET-0050","Cat Toy 6","Pet Supplies",14.6,65,70,0.32,0.24,0.14,8,TRUE,TRUE,"shelf","B","bottle"
"P051","SKU-SNA-0051","Nuts Assorted 6","Snacks",15.33,66,81,0.2,0.2,0.15,3,FALSE,TRUE,"shelf","B","crate"
"P052","SKU-BEV-0052","Energy Drink 6","Beverages",15.16,67,92,0.31,0.19,0.18,7,FALSE,TRUE,"refrigerated","B","drum"
"P053","SKU-BEA-0053","Perfume Roll 6","Beauty",15.44,68,103,0.32,0.26,0.18,5,FALSE,TRUE,"shelf","A","tube"
"P054","SKU-DAI-0054","Cream 35% 6","Dairy",19.02,78,362,0.4,0.29,0.24,5,TRUE,FALSE,"refrigerated","A","can"
"P055","SKU-BEA-0055","Deodorant 6","Beauty",33,70,125,1.21,0.75,0.45,8,TRUE,TRUE,"pallet","C","pallet"
"P056","SKU-TOO-0056","Measuring Tape 6","Tools",13.52,64,81,1.23,0.75,0.45,3,TRUE,TRUE,"pallet","C","pallet"
"P057","SKU-SNA-0057","Granola Bites 6","Snacks",17.01,72,147,0.2,0.24,0.15,9,TRUE,TRUE,"shelf","B","bag"
"P058","SKU-BEV-0058","Mineral Water 6","Beverages",16.84,73,158,0.31,0.22,0.18,13,FALSE,TRUE,"refrigerated","B","bottle"
"P059","SKU-PET-0059","Pet Shampoo 6","Pet Supplies",17.12,74,169,0.32,0.17,0.18,3,FALSE,TRUE,"shelf","C","crate"
"P060","SKU-OFF-0060","Stapler 7","Office",2.8,90,90,0.24,0.16,0.09,12,TRUE,TRUE,"shelf","B","drum"
"P061","SKU-CLE-0061","Mop Head 7","Cleaning",17.68,76,191,0.26,0.22,0.12,15,TRUE,TRUE,"shelf","B","tube"
"P062","SKU-BEA-0062","Body Lotion 7","Beauty",27.96,77,202,1.27,0.75,0.45,6,TRUE,TRUE,"pallet","B","pallet"
"P063","SKU-TOO-0063","Safety Gloves 7","Tools",23.46,71,228,1.23,0.75,0.45,5,TRUE,FALSE,"pallet","C","pallet"
"P064","SKU-SNA-0064","Potato Chips 7","Snacks",18.97,79,224,0.26,0.24,0.16,2,TRUE,TRUE,"shelf","A","box"
"P065","SKU-HOM-0065","Floor Cleaner 7","Home Care",29.8,80,235,1.27,0.75,0.48,7,TRUE,TRUE,"pallet","C","pallet"
"P066","SKU-PET-0066","Cat Toy 7","Pet Supplies",35.08,81,246,1.15,0.75,0.45,8,TRUE,TRUE,"pallet","B","pallet"
"P067","SKU-TOO-0067","Safety Gloves 7","Tools",10.14,10,122,0.28,0.18,0.15,4,TRUE,TRUE,"shelf","C","crate"
"P068","SKU-FRO-0068","Frozen Pizza 7","Frozen",6.42,84,256,0.55,0.38,0.34,6,FALSE,FALSE,"refrigerated","B","drum"
"P069","SKU-TOO-0069","Socket Set 7","Tools",27.98,12,164,1.23,0.75,0.45,6,TRUE,TRUE,"pallet","C","pallet"
"P070","SKU-DAI-0070","Cream 35% 8","Dairy",4.5,94,570,0.4,0.29,0.24,7,TRUE,TRUE,"refrigerated","A","can"
"P071","SKU-BEA-0071","Hand Cream 8","Beauty",20.48,86,51,0.32,0.24,0.18,9,FALSE,TRUE,"shelf","C","pack"
"P072","SKU-DAI-0072","Curd Set 8","Dairy",5.16,96,596,0.4,0.29,0.24,9,TRUE,TRUE,"refrigerated","A","box"
"P073","SKU-BEA-0073","Hand Cream 8","Beauty",21.04,88,73,0.26,0.17,0.12,11,TRUE,TRUE,"shelf","B","bag"
"P074","SKU-OFF-0074","Stapler 8","Office",0.8,104,216,0.24,0.16,0.09,12,FALSE,TRUE,"shelf","B","bottle"
"P075","SKU-GAR-0075","Garden Seeds 8","Gardening",21.6,90,95,0.2,0.22,0.15,2,FALSE,TRUE,"shelf","C","crate"
"P076","SKU-PET-0076","Cat Toy 8","Pet Supplies",21.88,91,106,0.26,0.19,0.16,6,TRUE,TRUE,"shelf","C","drum"
"P077","SKU-OFF-0077","Binder Clips 8","Office",1.4,107,243,0.24,0.16,0.09,15,TRUE,TRUE,"shelf","B","tube"
"P078","SKU-GAR-0078","Pruning Shears 8","Gardening",22.44,93,128,0.2,0.24,0.11,5,FALSE,TRUE,"shelf","A","can"
"P079","SKU-FRO-0079","Frozen Berry Mix 8","Frozen",10.16,95,443,0.55,0.38,0.34,3,TRUE,TRUE,"refrigerated","A","pack"
"P080","SKU-TOO-0080","Measuring Tape 9","Tools",15.6,23,205,0.28,0.18,0.15,3,TRUE,TRUE,"shelf","C","box"
"P081","SKU-BEA-0081","Perfume Roll 9","Beauty",0.88,96,161,0.2,0.26,0.15,5,TRUE,TRUE,"shelf","A","bag"
"P082","SKU-DAI-0082","Yogurt Cup 9","Dairy",8.46,106,726,0.4,0.29,0.24,5,FALSE,FALSE,"refrigerated","A","bottle"
"P083","SKU-FRO-0083","Mixed Vegetables 9","Frozen",11.52,99,171,0.55,0.38,0.34,7,FALSE,TRUE,"refrigerated","B","crate"
"P084","SKU-BEV-0084","Craft Lager 9","Beverages",1.72,99,194,0.25,0.17,0.14,11,FALSE,FALSE,"refrigerated","B","drum"
"P085","SKU-FRO-0085","Frozen Berry Mix 9","Frozen",12.2,101,205,0.55,0.38,0.34,9,FALSE,TRUE,"refrigerated","A","tube"
"P086","SKU-BEV-0086","Iced Tea 9","Beverages",2.28,101,216,0.37,0.22,0.16,13,FALSE,TRUE,"refrigerated","C","can"
"P087","SKU-PET-0087","Pet Shampoo 9","Pet Supplies",2.56,102,227,0.2,0.17,0.15,3,TRUE,TRUE,"shelf","C","pack"
"P088","SKU-SNA-0088","Trail Mix 9","Snacks",3.29,103,238,0.26,0.26,0.16,12,TRUE,TRUE,"shelf","A","box"
"P089","SKU-HOM-0089","Laundry Detergent 9","Home Care",22.12,104,249,1.27,0.75,0.48,5,TRUE,TRUE,"pallet","B","pallet"
"P090","SKU-FRO-0090","Berry Smoothie Cubes 10","Frozen",13.9,16,290,0.55,0.38,0.34,14,FALSE,TRUE,"refrigerated","A","bottle"
"P091","SKU-TOO-0091","Socket Set 10","Tools",1.32,34,56,0.28,0.18,0.15,14,FALSE,FALSE,"fragile","C","crate"
"P092","SKU-HOM-0092","Floor Cleaner 10","Home Care",3.96,107,32,0.32,0.24,0.14,5,TRUE,TRUE,"shelf","A","drum"
"P093","SKU-HAR-0093","Pneumatic Valve 10","Hardware",6.54,108,43,0.2,0.2,0.15,5,TRUE,TRUE,"shelf","B","tube"
"P094","SKU-BEA-0094","Hand Cream 10","Beauty",4.52,109,54,0.26,0.17,0.16,4,FALSE,TRUE,"fragile","A","can"
"P095","SKU-GAR-0095","Plant Fertilizer 10","Gardening",4.8,110,65,0.32,0.26,0.18,8,TRUE,TRUE,"shelf","C","pack"
"P096","SKU-BEA-0096","Deodorant 10","Beauty",5.08,111,76,0.2,0.22,0.11,6,TRUE,TRUE,"shelf","A","box"
"P097","SKU-SNA-0097","Granola Bites 10","Snacks",5.81,112,87,0.26,0.19,0.12,7,TRUE,TRUE,"shelf","B","bag"
