NORTHERN DISTRIBUTION CO. · ITEM MASTER · exported 30/08/2026 08:12,,,,,,,,,,
"Box size in cm (L x W x H). Weight in grams unless it says kg. Turnover = order lines in the last 90 days, for reference only.",,,,,,,,,,
Item code,Description,Family,Box size (cm),Weight,Current stock,Units per box,Stackable,Storage,90d turnover,Comment
sku-dai-0003 ,Yogurt Cup 1,Dairy,40X29X24,2.19 kg,27,10,Yes,Cold room,319,September promo
SKU-BEV-0005,Energy Drink 1,Beverages,37×24×20 cm,2.0 kg,20,2,do not stack,refrigerated 2-8°C,75,"damaged box, inspect"
sku-bea-0006 ,Hand Cream 1,Beauty,20×19×11 cm,2.28 kg,21,14,No,Shelf,86,keep upright
SKU-OFF-0007,Stapler 1,Office,119X75X45,16800,37,4,YES,full pallet,133,
SKU-OFF-0010,A4 Folder 2,Office,24X16X9,"2,4 kg",40,4,Yes,Shelving,160,new batch
SKU-HOM-0013,Air Freshener 2,Home,121X75X45,21240 g,28,5,Yes,PALLET,163,
SKU-FRO-0014,Mixed Vegetables 2,Frozen,55X38X34,6760 g,30,8,No,refrigerated 2-8°C,358,keep upright
SKU-HOM-0015,Floor Cleaner 2,Home,20x24x15,4800 g,30,12,Yes,SHELVING,185,keep upright
SKU-PET-0017,Pet Shampoo 2,Pets,32X17X18,"5,4 kg",32,3,NO,Fragile - shelving,207,"damaged box, inspect"
sku-cle-0018 ,All-Purpose Wipes 2,Cleaning,20x26x11,"5,6 kg",33,14,Yes,shelving,218,
SKU-BEA-0019,Hand Cream 2,Beauty,121×75×45 cm,24.92 kg,34,6,No,pallet,229,
SKU-HOM-0020,Air Freshener 3,Home,32X19X14,"6,2 kg",35,3,Yes,shelving,240,"damaged box, inspect"
SKU-GAR-0021,Garden Seeds 3,Garden,20×15×15 cm,6480,36,4,YES,Shelf,251,
SKU-PET-0024,Pet Shampoo 3,Pets,20×17×11 cm,7.32 kg,39,10,YES,Shelving,34,
SKU-TOO-0026,Measuring Tape 3,Tools,28 x 18 x 15,"11,8 kg",34,5,Yes,shelving,211,September promo
SKU-PET-0027,Cat Toy 3,Pets,20 x 19 x 15,8160,42,13,NO,FRAGILE,67,"damaged box, inspect"
SKU-CLE-0028,Trash Bag 3,Cleaning,26 x 15 x 16,8440,43,10,YES,Shelving,78,
SKU-SNA-0030,Trail Mix 4,Snacks,20 x 20 x 11,9450 g,45,10,do not stack,Fragile - shelving,100,
SKU-PET-0031,Pet Shampoo 4,Pets,26x17x12,9280 g,46,3,YES,SHELVING,111,
SKU-BEV-0033,Craft Lager 4,Beverages,25X24X17,9840 g,48,2,NO,Refrigerated,133,September promo
SKU-BEA-0034,Deodorant 4,Beauty,26 x 19 x 16,10120,49,14,yes,Shelving,144,
SKU-BEV-0037,Energy Drink 4,Beverages,31×22×14 cm,"11,0 kg",52,6,do not stack,Refrigerated,177,
SKU-GAR-0039,Watering Can 4,Garden,20 x 26 x 15,11520,54,8,No,SHELVING,199,"damaged box, inspect"
SKU-PET-0040,Pet Shampoo 5,Pets,26×22×16 cm,"11,8 kg",55,12,yes,Fragile - shelving,210,
sku-cle-0041 ,All-Purpose Wipes 5,Cleaning,32×19×18 cm,12080 g,56,9,yes,Shelving,221,
SKU-OFF-0043,Stapler 5,Office,24×16×9 cm,4.2 kg,73,9,do not stack,Shelf,197,
SKU-BEA-0045,Conditioner 5,Beauty,20×17×15 cm,13200 g,60,11,Yes,SHELVING,265,"damaged box, inspect"
SKU-SNA-0046,Trail Mix 5,Snacks,121X75X46,27930,61,6,yes,PALLET,26,
SKU-GAR-0047,Plant Fertilizer 5,Garden,32x22x18,13.76 kg,62,2,do not stack,Fragile - shelving,37,"damaged box, inspect"
SKU-TOO-0049,Level Tool 5,Tools,28x18x15,2580,57,14,No,Shelving,124,
SKU-SNA-0051,Nuts Assorted 6,Snacks,20X20X15,15330 g,66,3,do not stack,shelving,81,
SKU-DAI-0054,Cream 35% 6,Dairy,40 x 29 x 24,19020,78,5,YES,Cold room,362,keep upright
SKU-TOO-0056,Measuring Tape 6,Tools,123 x 75 x 45,"13,5 kg",64,3,Yes,full pallet,81,
SKU-SNA-0057,Granola Bites 6,Snacks,20×24×15 cm,17.01 kg,72,9,yes,shelving,147,
SKU-BEV-0058,Mineral Water 6,Beverages,31X22X18,16840 g,73,13,NO,Cold,158,"damaged box, inspect"
SKU-OFF-0060,Stapler 7,Office,24x16x9,"2,8 kg",90,12,yes,Shelving,90,
SKU-CLE-0061,Mop Head 7,Cleaning,26×22×12 cm,"17,7 kg",76,15,yes,Shelving,191,"damaged box, inspect"
SKU-BEA-0062,Body Lotion 7,Beauty,127×75×45 cm,27960,77,6,Yes,full pallet,202,
SKU-HOM-0065,Floor Cleaner 7,Home,127×75×48 cm,29.8 kg,80,7,Y,PALLET,235,
SKU-TOO-0067,Safety Gloves 7,Tools,28x18x15,"10,1 kg",10,4,yes,SHELVING,122,
SKU-TOO-0069,Socket Set 7,Tools,123 x 75 x 45,"28,0 kg",12,6,Yes,pallet,164,"damaged box, inspect"
SKU-DAI-0070,Cream 35% 8,Dairy,40x29x24,4500 g,94,7,Yes,Cold,570,"damaged box, inspect"
SKU-DAI-0072,Curd Set 8,Dairy,40×29×24 cm,5160 g,96,9,Yes,Cold,596,
SKU-BEA-0073,Hand Cream 8,Beauty,26x17x12,21040 g,88,11,Yes,SHELVING,73,
SKU-OFF-0074,Stapler 8,Office,24X16X9,0.8 kg,104,12,NO,SHELVING,216,
SKU-PET-0076,Cat Toy 8,Pets,26×19×16 cm,21880 g,91,6,Y,Shelf,106,"damaged box, inspect"
SKU-GAR-0078,Pruning Shears 8,Garden,20X24X11,22.44 kg,93,5,NO,shelving,128,
SKU-TOO-0080,Measuring Tape 9,Tools,28X18X15,15600,23,3,yes,SHELVING,205,September promo
Item code,Description,Family,Box size (cm),Weight,Current stock,Units per box,Stackable,Storage,90d turnover,Comment
SKU-DAI-0082,Yogurt Cup 9,Dairy,40X29X24,"8,5 kg",106,5,NO,Refrigerated,726,"damaged box, inspect"
SKU-BEV-0084,Craft Lager 9,Beverages,25x17x14,"1,7 kg",99,11,NO,Refrigerated,194,September promo
SKU-FRO-0085,Frozen Berry Mix 9,Frozen,55 x 38 x 34,12200 g,101,9,do not stack,Cold,205,keep upright
SKU-PET-0087,Pet Shampoo 9,Pets,20X17X15,"2,6 kg",102,3,Y,shelving,227,"damaged box, inspect"
sku-hom-0089 ,Laundry Detergent 9,Home,127 x 75 x 48,22120 g,104,5,yes,PALLET,249,new batch
SKU-FRO-0090,Berry Smoothie Cubes 10,Frozen,55X38X34,13.9 kg,16,14,NO,refrigerated 2-8°C,290,"damaged box, inspect"
sku-too-0091 ,Socket Set 10,Tools,28X18X15,"1,3 kg",34,14,NO,Fragile,56,keep upright
SKU-HOM-0092,Floor Cleaner 10,Home,32X24X14,"4,0 kg",107,5,YES,SHELVING,32,"damaged box, inspect"
