August 2026 sales · order detail (WMS export),,,,
Date,Order no.,SKU,Quantity,Customer
01/08/2026,ORD-100231,SKU-CLE-0240,9,La Lucha Restaurant
01/08/2026,ORD-100231,SKU-FRO-0267,7,Happy Pet Store
2026-08-01,ORD-100232,SKU-BEA-0073,15,Wong North Supermarkets
01-Aug-26,ORD-100233,SKU-FRO-0109,4,San Martin Corner Store
01-Aug-26,ORD-100233,SKU-BEA-0291,3,Lince Vet Center
2026-08-01,ORD-100234,SKU-DAI-0072,18,Andean Group Offices
2026-08-01,ORD-100235, SKU-HOM-0316,2,Lucero Minimarket
01-Aug-26,ORD-100235,SKU-HOM-0089,5,La Lucha Restaurant
01-Aug-26,ORD-100236,SKU-HOM-0262,9,Lucero Minimarket
01-Aug-26,ORD-100236,SKU-BEA-0264,7,La Lucha Restaurant
01/08/2026,ORD-100237,SKU-DAI-0303,2,San Martin Corner Store
01/08/2026,ORD-100237,SKU-HOM-0015,11,Andean Group Offices
01-Aug-26,ORD-100237,SKU-FRO-0272,15,Wong North Supermarkets
01-Aug-26,ORD-100238,SKU-FRO-0278,3,Delta Construction
01-Aug-26,ORD-100238,SKU-BEA-0193,9,Andean Group Offices
01/08/2026,ORD-100239,SKU-GAR-0047,4,Lince Vet Center
01-Aug-26,ORD-100240,SKU-DAI-0082,8,El Tornillo Hardware
2026-08-01,ORD-100240,SKU-FRO-0272,21,La Lucha Restaurant
01-Aug-26,ORD-100241,SKU-FRO-0272,24,El Tornillo Hardware
01-Aug-26,ORD-100241,SKU-DAI-0164,1,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100241,SKU-CLE-0282,14,Delta Construction
2026-08-01,ORD-100242,SKU-OFF-0257,2,San Martin Corner Store
01-Aug-26,ORD-100242,SKU-HOM-0020,6,El Tornillo Hardware
01-Aug-26,ORD-100243,SKU-BEA-0148,2,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100243,SKU-OFF-0257,10,Lucero Minimarket
2026-08-01,ORD-100244,SKU BEA 0310,10,Andean Group Offices
01/08/2026,ORD-100244,SKU-BEA-0144,14,Delta Construction
2026-08-01,ORD-100245,SKU-BEA-0142,3,Lince Vet Center
01/08/2026,ORD-100245,SKU-BEA-0045,15,Inkafarma Comas Pharmacy
2026-08-01,ORD-100246,SKU OFF 0228,14,Wong North Supermarkets
01/08/2026,ORD-100246,SKU-FRO-0132,9,Andean Group Offices
01-Aug-26,ORD-100246,SKU-BEV-0202,5,Happy Pet Store
01-Aug-26,ORD-100247,SKU-HOM-0289,3,Happy Pet Store
01-Aug-26,ORD-100248,SKU-GAR-0047,4,La Lucha Restaurant
2026-08-01,ORD-100248, SKU-FRO-0278,2,Delta Construction
01-Aug-26,ORD-100249,SKU-FRO-0278,1,Inkafarma Comas Pharmacy
